depth	Heterozygote_Discordance	Class
17.45	0.005349255	Post-genotype refinement
17.57	0.005314204	Post-genotype refinement
17.59	0.004578412	Post-genotype refinement
17.59	0.005204728	Post-genotype refinement
17.61	0.005173122	Post-genotype refinement
17.66	0.005232676	Post-genotype refinement
17.79	0.00507218	Post-genotype refinement
17.88	0.004967882	Post-genotype refinement
17.93	0.004904627	Post-genotype refinement
17.94	0.004485005	Post-genotype refinement
18	0.005242731	Post-genotype refinement
18.01	0.004739777	Post-genotype refinement
18.04	0.006403871	Post-genotype refinement
18.15	0.003591947	Post-genotype refinement
18.16	0.005308729	Post-genotype refinement
18.35	0.004120884	Post-genotype refinement
18.4	0.004177065	Post-genotype refinement
18.47	0.003137871	Post-genotype refinement
18.6	0.003874958	Post-genotype refinement
18.64	0.00436228	Post-genotype refinement
18.67	0.00381145	Post-genotype refinement
18.72	0.003076878	Post-genotype refinement
18.8	0.00626839	Post-genotype refinement
18.81	0.00377734	Post-genotype refinement
18.89	0.002960789	Post-genotype refinement
18.95	0.003520618	Post-genotype refinement
19.01	0.003203541	Post-genotype refinement
19.09	0.003156902	Post-genotype refinement
19.09	0.002919546	Post-genotype refinement
19.22	0.00292965	Post-genotype refinement
19.32	0.003379374	Post-genotype refinement
19.4	0.005796518	Post-genotype refinement
19.45	0.005020954	Post-genotype refinement
19.59	0.00291704	Post-genotype refinement
19.71	0.002463521	Post-genotype refinement
19.73	0.003066439	Post-genotype refinement
19.76	0.00505238	Post-genotype refinement
19.88	0.005406744	Post-genotype refinement
19.99	0.0036267	Post-genotype refinement
20.01	0.003712096	Post-genotype refinement
20.22	0.00372857	Post-genotype refinement
20.38	0.002733223	Post-genotype refinement
20.41	0.003848881	Post-genotype refinement
20.42	0.001994181	Post-genotype refinement
20.57	0.002096743	Post-genotype refinement
20.64	0.002253024	Post-genotype refinement
20.8	0.002150475	Post-genotype refinement
20.93	0.002314761	Post-genotype refinement
21.06	0.006494899	Post-genotype refinement
21.1	0.003463463	Post-genotype refinement
21.14	0.003348021	Post-genotype refinement
21.27	0.001783758	Post-genotype refinement
21.31	0.001788411	Post-genotype refinement
21.6	0.009108988	Post-genotype refinement
21.76	0.003554081	Post-genotype refinement
21.85	0.001410594	Post-genotype refinement
22.12	0.00343255	Post-genotype refinement
22.13	0.002059153	Post-genotype refinement
22.15	0.002167961	Post-genotype refinement
22.28	0.002550059	Post-genotype refinement
22.38	0.001624303	Post-genotype refinement
22.45	0.003331521	Post-genotype refinement
23.01	0.001414309	Post-genotype refinement
23.06	0.001701109	Post-genotype refinement
23.25	0.001624109	Post-genotype refinement
23.36	0.001490453	Post-genotype refinement
23.38	0.001359349	Post-genotype refinement
23.53	0.001167235	Post-genotype refinement
23.72	0.001348198	Post-genotype refinement
24.41	0.001279629	Post-genotype refinement
25.32	0.001398961	Post-genotype refinement
25.44	0.001677428	Post-genotype refinement
32.99	0.000214521	Post-genotype refinement
35.44	0.000520376	Post-genotype refinement
36.09	0.000162233	Post-genotype refinement
36.7	0.000317176	Post-genotype refinement
39.97	0.00017664	Post-genotype refinement
41.12	0.000156902	Post-genotype refinement
41.78	0.0001821	Post-genotype refinement
41.8	0.00017992	Post-genotype refinement
42.01	0.000227315	Post-genotype refinement
42.21	0.000400053	Post-genotype refinement
42.34	0.000206937	Post-genotype refinement
42.54	0.000235104	Post-genotype refinement
42.72	9.69E-05	Post-genotype refinement
43.53	0.000186584	Post-genotype refinement
43.63	0.000137229	Post-genotype refinement
44.55	0.000145779	Post-genotype refinement
44.67	0.000257695	Post-genotype refinement
46.96	0.000124342	Post-genotype refinement
47.84	0.000287811	Post-genotype refinement
49.65	0.000318803	Post-genotype refinement
50.42	0.000148543	Post-genotype refinement
54.67	0.000191235	Post-genotype refinement
