panel	sample	AA_ccd	AB_ccd	BB_ccd	NR_ccd
CONV	jx0475	0.990763547	0.811735941	0.857142857	0.818371608
CONV	jx0477	0.991676576	0.764864865	0.843137255	0.774346793
CONV	jx0478	0.990464839	0.833795014	0.875	0.84
CONV	jx0481	0.986235787	0.791891892	0.887096774	0.805555556
CONV	jx0484	0.989004276	0.807881773	0.783333333	0.80472103
CONV	jx0485	0.990892532	0.804123711	0.911764706	0.820175439
CONV	jx0486	0.989208633	0.787061995	0.796875	0.788505747
CONV	jx0489	0.995003123	0.792710706	0.80952381	0.794820717
CONV	jx0490	0.992125984	0.806701031	0.78125	0.803097345
CONV	jx0491	0.991980259	0.798525799	0.84	0.804979253
CONV	jx0492	0.989381636	0.815068493	0.8125	0.814741036
CONV	jx0497	0.992615385	0.788461538	0.870967742	0.79916318
CONV	jx0498	0.99204893	0.787179487	0.846153846	0.797008547
CONV	jx0500	0.986731001	0.769633508	0.841269841	0.779775281
CONV	jx0503	0.985303123	0.828282828	0.918918919	0.842553191
CONV	jx0506	0.993865031	0.833333333	0.813559322	0.830866808
CONV	jx0507	0.993373494	0.801526718	0.82	0.803611738
CONV	jx0508	0.988554217	0.791666667	0.745762712	0.785553047
CONV	jx0512	0.988670244	0.809264305	0.813559322	0.809859155
CONV	jx0513	0.99026764	0.789873418	0.84375	0.797385621
CONV	jx0515	0.991864831	0.801822323	0.833333333	0.805940594
CONV	jx0519	0.989084294	0.832041344	0.835820896	0.832599119
CONV	jx0521	0.98915009	0.776315789	0.84375	0.786036036
CONV	jx0523	0.990831296	0.818181818	0.845070423	0.822269807
CONV	jx0528	0.989721886	0.832474227	0.901639344	0.841870824
CONV	jx0529	0.991484185	0.785529716	0.736111111	0.777777778
CONV	jx0535	0.991945477	0.815085158	0.871794872	0.824130879
CONV	jx0538	0.988428745	0.82	0.868852459	0.826464208
CONV	jx0539	0.992687386	0.810126582	0.865671642	0.818181818
CONV	jx0540	0.990797546	0.803827751	0.872727273	0.811839323
CONV	jx0543	0.98915009	0.803713528	0.791044776	0.801801802
CONV	jx0545	0.992106861	0.811881188	0.730769231	0.802631579
CONV	jx0547	0.987922705	0.811989101	0.775	0.805369128
CONV	jx0551	0.989104116	0.805063291	0.875	0.813747228
CONV	jx0554	0.987722529	0.807407407	0.826086957	0.810126582
CONV	jx0555	0.991416309	0.822942643	0.802816901	0.819915254
CONV	jx0559	0.992810066	0.808108108	0.84375	0.813364055
CONV	jx0560	0.993226601	0.773631841	0.87012987	0.78914405
CONV	jx0563	0.992097264	0.823076923	0.838235294	0.825327511
CONV	jx0564	0.992068334	0.805194805	0.860759494	0.814655172
CONV	jx0568	0.99140577	0.82160804	0.842105263	0.824894515
CONV	jx0569	0.987280436	0.815789474	0.916666667	0.831858407
CONV	jx0571	0.989272944	0.782967033	0.868852459	0.795294118
CONV	jx0574	0.990814452	0.780141844	0.787234043	0.780851064
CONV	jx0576	0.986928105	0.792134831	0.8125	0.795238095
CONV	jx0577	0.991540785	0.797927461	0.85483871	0.805803571
CONV	jx0580	0.992116434	0.786259542	0.786885246	0.786343612
CONV	jx0582	0.991646778	0.79403794	0.827586207	0.798594848
CONV	jx0586	0.991515152	0.803069054	0.887096774	0.814569536
CONV	jx0588	0.988088148	0.822888283	0.859649123	0.827830189
CONV	jx0589	0.989634146	0.832474227	0.84	0.833693305
CONV	jx0591	0.988943489	0.812345679	0.842857143	0.816842105
CONV	jx0592	0.992682927	0.79028133	0.833333333	0.796976242
CONV	jx0593	0.989031079	0.798029557	0.857142857	0.805194805
CONV	jx0594	0.993939394	0.772959184	0.852459016	0.783664459
CONV	jx0595	0.989228007	0.867924528	0.852459016	0.865740741
CONV	jx0596	0.988990826	0.766917293	0.826086957	0.775641026
CONV	jx0601	0.995700246	0.758373206	0.771929825	0.76
CONV	jx0605	0.985285101	0.810218978	0.836065574	0.813559322
CONV	jx0611	0.990947495	0.81748072	0.789473684	0.813901345
CONV	jx0616	0.987155963	0.790523691	0.791044776	0.790598291
CONV	jx0618	0.987402519	0.822281167	0.830508475	0.823394495
CONV	jx0621	0.989499691	0.776497696	0.82	0.780991736
CONV	jx0622	0.991426822	0.797530864	0.923076923	0.814893617
CONV	jx0623	0.989143546	0.8046875	0.721311475	0.793258427
CONV	jx0624	0.98978979	0.844919786	0.875	0.849315068
CONV	jx0627	0.988984088	0.807017544	0.885714286	0.818763326
CONV	jx0628	0.992252682	0.785310734	0.85915493	0.797647059
CONV	jx0630	0.996319018	0.837628866	0.858823529	0.841437632
CONV	jx0632	0.991611744	0.824468085	0.913793103	0.83640553
CONV	jx0633	0.993353474	0.803069054	0.877192982	0.8125
CONV	jx0637	0.994508847	0.798469388	0.833333333	0.80387931
CONV	jx0638	0.991499696	0.812339332	0.865671642	0.820175439
CONV	jx0639	0.990969296	0.852546917	0.884057971	0.857466063
CONV	jx0640	0.987092809	0.804938272	0.788732394	0.802521008
CONV	jx0641	0.990931076	0.818428184	0.875	0.828507795
CONV	jx0642	0.984384384	0.798913043	0.871428571	0.810502283
CONV	jx0643	0.989004276	0.841849148	0.763636364	0.832618026
CONV	jx0644	0.992788462	0.794666667	0.8125	0.797266515
CONV	jx0645	0.991012582	0.778082192	0.855072464	0.790322581
CONV	jx0646	0.987871437	0.831578947	0.797297297	0.825991189
CONV	jx0647	0.99029715	0.818639798	0.859649123	0.823788546
CONV	jx0648	0.995110024	0.80195599	0.810344828	0.802997859
CONV	jx0649	0.988984088	0.796391753	0.864197531	0.808102345
CONV	jx0650	0.987295826	0.811023622	0.84057971	0.815555556
CONV	jx0653	0.989646772	0.837974684	0.787878788	0.830802603
CONV	jx0654	0.992583436	0.798076923	0.855072464	0.806185567
CONV	jx0656	0.994548758	0.848866499	0.836363636	0.847345133
CONV	jx0657	0.990909091	0.810126582	0.844827586	0.814569536
CONV	jx0658	0.99039039	0.812154696	0.881578947	0.824200913
CONV	jx0661	0.991530551	0.783854167	0.893939394	0.8
CONV	jx0662	0.996374622	0.808080808	0.865384615	0.814732143
CONV	jx0663	0.987440191	0.822888283	0.90625	0.835266821
CONV	jx0664	0.990723562	0.804347826	0.791666667	0.802469136
CONV	jx0666	0.989690722	0.763297872	0.846153846	0.77753304
CONV	jx0669	0.986161252	0.817708333	0.912280702	0.829931973
CONV	jx0670	0.988023952	0.840782123	0.813333333	0.836027714
CONV	jx0672	0.98980204	0.805084746	0.841463415	0.811926606
CONV	jx0673	0.994461538	0.816625917	0.855072464	0.822175732
CONV	jx0674	0.991499696	0.832020997	0.813333333	0.828947368
CONV	jx0675	0.99160168	0.831024931	0.813333333	0.827981651
CONV	jx0676	0.993255671	0.80798005	0.915492958	0.824152542
CONV	jx0679	0.992243437	0.811989101	0.8	0.81030445
CONV	jx0680	0.98662614	0.827493261	0.816091954	0.825327511
CONV	jx0682	0.99211165	0.786458333	0.788732394	0.786813187
CONV	jx0684	0.992797119	0.790322581	0.846153846	0.798627002
CONV	jx0686	0.990202082	0.790865385	0.87037037	0.8
CONV	jx0688	0.99405116	0.809917355	0.881355932	0.819905213
CONV	jx0689	0.987210719	0.820971867	0.742857143	0.809110629
CONV	jx0691	0.990220049	0.775193798	0.8125	0.781584582
CONV	jx0692	0.991566265	0.811023622	0.822580645	0.812641084
CONV	jx0698	0.991034071	0.839142091	0.771929825	0.830232558
CONV	jx0699	0.991432069	0.792079208	0.784615385	0.791044776
CONV	jx0704	0.990470518	0.820936639	0.868852459	0.827830189
CONV	jx0706	0.99330493	0.809290954	0.784313725	0.806521739
CONV	jx0707	0.989752863	0.78238342	0.879310345	0.795045045
CONV	jx0708	0.990980156	0.819178082	0.92	0.836363636
CONV	jx0709	0.99137931	0.794554455	0.88	0.807933194
